frame_id,timestamp_s,ego_x,ego_y,ego_psi,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_scan_sec,memory_rss_mb
210,21.0,1000.3806573276198,1013.3460740754385,2.8452295272153094,10,4,16,241,0,0,5.03999981447123e-05,2282.55859375
211,21.1,999.8616362225362,1013.4944046336783,2.8812181867753104,10,2,8,241,0,0,4.1799998143687844e-05,2282.55859375
212,21.2,999.3376141292841,1013.6239643026097,2.9172068463353096,10,3,12,241,0,0,4.239999543642625e-05,2282.55859375
213,21.3,998.8092696794429,1013.7345852967826,2.9531955058953097,10,2,8,241,0,0,4.9299997044727206e-05,2282.55859375
214,21.4,998.277287102233,1013.826124357161,2.989184165455309,10,3,12,241,0,0,6.460000440711156e-05,2282.55859375
215,21.5,997.7423553384093,1013.8984629366494,3.02517282501531,10,3,12,241,0,0,4.720000288216397e-05,2282.55859375
216,21.6,997.2051671480529,1013.9515073536166,3.06116148457531,10,4,16,241,0,0,4.479999915929511e-05,2282.55859375
217,21.7,996.6664182134157,1013.9851889132178,3.097150144135309,10,3,12,241,0,0,4.470000567380339e-05,2282.55859375
218,21.8,996.1268062379822,1013.999463996357,3.13313880369531,10,3,12,241,0,0,4.369999805931002e-05,2282.55859375
219,21.9,995.5870300429125,1013.9943141161756,-3.1140578439242774,10,3,12,241,32,0,4.369999805931002e-05,2282.55859375
