frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
229,22.9,11,11,44,241,10604,106,0.00014789999841013923,0.009850599999481346,2297.39453125,vanilla
230,23.0,11,11,44,241,10604,112,0.00015270000585587695,0.010053600002720486,2297.39453125,vanilla
231,23.1,11,11,44,241,10604,124,0.00014699999883305281,0.009976199995435309,2297.39453125,vanilla
232,23.2,11,11,44,241,10604,140,0.00013919999764766544,0.009862200000497978,2297.39453125,vanilla
233,23.3,11,11,44,241,10604,165,0.0001438000035705045,0.010080000000016298,2297.3984375,vanilla
234,23.4,12,12,48,241,11568,201,0.00015949999942677096,0.01085610000154702,2297.3984375,vanilla
235,23.5,11,11,44,241,10604,190,0.0001325999983237125,0.009926099999574944,2297.3984375,vanilla
236,23.6,11,11,44,241,10604,165,0.00013439999747788534,0.010012699996877927,2297.3984375,vanilla
237,23.7,11,11,44,241,10604,105,0.00014379999629454687,0.010124000000359956,2297.3984375,vanilla
238,23.8,11,11,44,241,10604,69,0.00016209999739658087,0.010617300002195407,2297.3984375,vanilla
239,23.9,10,10,40,241,9640,68,0.0001657999964663759,0.009181200002785772,2297.40234375,vanilla
240,24.0,10,10,40,241,9640,75,0.0001812999980757013,0.009037699994223658,2297.40625,vanilla
241,24.1,11,11,44,241,10604,85,0.00014490000467048958,0.01053669999964768,2296.95703125,vanilla
242,24.2,11,11,44,241,10604,89,0.00020759999461006373,0.00997129999450408,2296.98828125,vanilla
243,24.3,11,11,44,241,10604,94,0.00017910000315168872,0.009929800005920697,2297.00390625,vanilla
244,24.4,11,11,44,241,10604,98,0.00013670000043930486,0.009961499999917578,2297.02734375,vanilla
245,24.5,11,11,44,241,10604,104,0.0001917000045068562,0.010181899997405708,2297.046875,vanilla
246,24.6,11,11,44,241,10604,109,0.0001883000004454516,0.009957900001609232,2297.0546875,vanilla
247,24.7,11,11,44,241,10604,114,0.00014989999908721074,0.009954399996786378,2297.08984375,vanilla
248,24.8,11,11,44,241,10604,125,0.0001554000045871362,0.009929200001352001,2297.1015625,vanilla
249,24.9,12,12,48,241,11568,134,0.00016069999401224777,0.010779800002637785,2297.10546875,vanilla
250,25.0,12,12,48,241,11568,144,0.0001444000008632429,0.010866700002225116,2297.1171875,vanilla
251,25.1,12,12,48,241,11568,154,0.0002060999977402389,0.010962100001052022,2297.14453125,vanilla
252,25.2,11,11,44,241,10604,141,0.00022929999977350235,0.009984500000427943,2297.15234375,vanilla
